New Mongolian Ambassadors appointed	On 29th January, Parliament approved the President’s proposal to appoint several new Ambassadors, and to dismiss several others. Therefore, the current Ambassadors: Ts.Sukhbaatar, M.Ganbold, T.Gandi, and Sh.Odonbaatar are to be replaced. In their place the following four have been almost unanimously approved by Parliament: D.Ganhuyag to be appointed as Ambassador to China (94.5% approval), S.Tsoggerel to North Korea (92.9% approval) Z.Batbayar to Hungary (96.4% approval) and Ts.Jambaldorj as Mongolia’s ambassador to Italy (96.4% approval).	http://www.news.mn/r/234482
Election to be held on 29th June	On 29th January, the Mongolian Parliament approved the protocol for setting the dates of the parlimentary election and also that of the Municipal and Local Civil Representatives’ Assembly. The approval means that these will both be held on same day, namely 29th June. Mongolian citizens, who are living and working abroad, will be able to vote on 17th- 19th June. Also, during the Parliament session, a section of the “State Service Law” relating to elections was altered; if a civil servant intends to be a candidate in either a parliamentary election, the presidential election or a civil representative assembly election, he or she must vacate their posts prior to 1st January of the election year.	http://www.news.mn/r/234498
“Made in Mongolia”: support to local SME’s	The “Made in Mongolia- Tsagaan Sar 2016” fair trade has opened in Ulaanbaatar’s “Hunnu Mall”, the “Night Bazaar” and the “Mongol Outlet” centers. In total some 340 domestic producers and manufacturers are participating. This kind of fair trade provides capital for future production and also helps them pay back their bank loans. Last year, there was a MNT 3 billion turnover at last year’s fair. Recently, the state policy on industry and small and medium enterprises (SME’s) showed some positive results. Moreover, it has been a year, since the Ministry of Industry was established. In the meantime, the policy and targets of this sector have become more clearly defined; as a result many enterpreneurs are grateful to the Ministry of Industry, for supporting them to overcome their problems, exploring and understanding export opportunities and in communicating with potential investors. At present the biggest remaining problems which need to be solved are setting a flexible rental fee and simplifying the bank lending requirements.	http://www.news.mn/r/234499
MPRP accountant under investigation	The accountant of the Mongolian People’s Revolutionary Party (MPRP) has been under investigation by the Anti-Corruption Implemention Agency. This occurred on Friday 29th January when information was spread that the Central Building of the MPRP was being checked by legal investigators and the internet had been off. Some online sources are connecting this with the matter of the letter of the Minister of Health and Sport G.Shiilegdamba; this explanation, however, is still not official.	http://www.news.mn/r/234500
Supporting the Mongolian Film Industry	The Government is planning to present the “Law on Films” to Parliament. The draft law has been prepared, in order to support the domestic Mongolian film industry and foreign films set in Mongolia by creating the necessary economic environment for film making. In addition a comfortable tax and customs regime will be created for foreign film makers. The draft law also proposes to return 40% of investment by foreign film makers from a “Film Support Fund”. The law on film aims to more clearly define state policy on the industry; additional measures include sending some film makers for training abroad and to export Mongolian films internationally.	http://www.news.mn/r/234501
Mortgage rates to be reduced	The Government and Bank of Mongolia have announced that the mortgage rate is to be reduced from 8% to 5%. Therefore, those people who have taken mortgages at 8% naturally want to know whether their rates will be reduced following this new decision. According to the Deputy President of Bank of Mongolia N.Batshugar “The Bank of Mongolia is working with the Government and commercial banks to make changes to the 16 relevant protocols. As a result, the 5% mortgage rate will take effect from April 2016. Existing mortgage holders, currently on the 8% rate can change to the 5% in April”. It should be noted that the 30% apartment pre-payment policy will not be changed. Economists consider that the reduction of pre-payment would increase the burden on mortgage holders’ families.	http://www.news.mn/r/234502
31142 people visit United City Service Center	As part of the implementation of the “Smart UB” program, the operation of the “Customer Service Center” has been extended into the “United City Service Center”. The Center was launched from 4th January 2016 on a trial basis and from the 14th January officially. The “United City Service Center” is located in the “Dunjingarav Trading Center”. Initially, it offered 235 kinds of service; now it is providing people with 450 different services. Less than a month has passed since the launch of the United City Service Center; in this short period a total of 31142 people have been served. It is planned to establish new branches of the “United City Service Center” in Sodon District and at Misheel Expo. Source: Media Bureau at City Administration	http://www.news.mn/r/234536
35 new courts to be set up?	On 28th January at a High Sitting of the Constitutional Court it was decided to establish 35 courts. We are, therefore, providing you with the position of the director of the General Court Committee, N.Lundendorj on this issue. -According to the decision of the Consitutional Court, 35 new courts are going to be established. How do you see this issue? - Yesterday, the Constitutional Court made a final decision about the establishment of the courts. There is no reason to reject this decision; if Mongolia has the economic wherewithal is to implement it. Therefore, the decision must be made, depending on the judicial and economical situation. I see that, Mongolia does not have the economical ability to establish many courts. This is my position. In the end, however, it is up to Mongolia, how to establish its courts. -So, the court structure will be changed, correct? -The decision of the Constitutional Court is final. Therefore, the General Court Committee will deliver the recommendation to the President of Mongolia, after agreement with the Government. We will work to this end.	http://www.news.mn/r/234537
Mongolian and Russian border: increase in illegal crossings	According to the 0243rd Border Troops in Selenge Province, there has recently been a sharp increase in the number of people illegally crossing Mongolia’s border with Russia. This has been put at 18.7% on the same period last year. For example, in January, three Russian citizens crossed the border, when drunk; no less than 31 Mongolian citizens crossed the frontier on 8 times occassions. The 0243rd Border Troops control Mongolia’s long northern frontier; the terrain is rich in forest and difficult to control. Because of the forests, there is also a high risk of fires. Recently, some Russian groups have been attempting to smuggle drugs across the border; at the same time, the number of attempts to smuggle hawks and other birds of prey from the Mongolian side has also risen. It will be recalled that in 2015, a combined operation involving the border troops, the Mongolian intellegence agency and the police investigated an attempt to smuggle 40 hawks across the border in Khuvsgul Province.	http://www.news.mn/r/234612
Cyber Sport: “Mongolz.CS” wins USD 30.000	The Asia-Pacific regional competition of the cyber sport “Intel Extreme Masters” ended yesterday in Taipei. The Mongoliam Team “Mongolz.CS” defeated the Australian “Renegades” by points 2:0 (16:9, 16:2) in the of Counter-Strike category (using Cobblestone and Inferno). Previously it had been impossible for Mongolian teams to achieve this level of success in international cyber sports competitions because of slow internet connectivity - on average it takes 0.4 more seconds to be connected with South East Asian servers from Mongolia. In order to solve this, the “Mongolz.Cs” team traveled to Hanoi in Vietnam, from where they battled in the “Intel Extreme Masters”. Now the “Mongolz.CS” team is ranked in 6th place in Asia and 22nd worldwide. The winner of the “Intel Extreme Masters” receives the right to participate two more competitions; namely “IEM Katowice” for USD 100,000 to be held in Katowice, Poland on 4th March and “MLG Columbus”, also for USD 100,000 which will take place in Columbus USA on 29th March.	http://www.news.mn/r/234617
Mongolia wins “Hakuho Cup” for the first time	Last week, the international “Hakuho Cup” competition took place in Tokyo. The competition takes its name from the 69th Great Professional Sumo Champion, the Mongolian sumo wrestler “Hakuho” M.Davaajargal. Approximately, 1200 junior sumo wrestlers from five countries participated in the 6th “Hakuho Cup”. On this occasion the Mongolian team won the competition for the first time. During the completion, A.Sosorkhuu and took the gold medal and E.Javkhlantugs took bronze. In addition, Hakuko’s eight-year-old son D. Munkhjargal also participated, but was defeated by his opponent. Little Munkhjargal’s dad was smiling whilst his mother pacified him.	http://www.news.mn/r/234631
Only 15 MPs have reported their incomes	According to the “Anti-Corruption Law”, Mongolian civil servants are obliged to report their income and capital assets by the 15th February every year. As of 31st January, 25100 of all 40000 civil servants have reported their income data to the respective organizations. This represents a 62.7% response. There are 276 senior state officials, who must report their incomes to the Anti Corruption Executive Agency. So far only 87 have responded. Here are the details: 15 MPs, 18 ambassadors, 5 consuls, 14 directors of governmental executive agencies and 35 others (members and directors of committees etc).	http://www.news.mn/r/234633
Stock Market exchanges MNT 10.5 billion	Last week, Mongolian Stock Market has exchanged MNT 10.5 billion. This took place during five separate exchanges during which 39 companies sold their stocks. “Mongol Shuudan”, “APU”, “Darkhen Nekhii”, “Buteelch Uils” sold quickly. Also, 100,000 governmental bonds were sold for MNT 10 billion on the Primary Market; in total 3812 bonds were sold for MNT 369,438,000. As of 29th January, “MSE ALL” index had fallen by 856.12 (1.13%).	http://www.news.mn/r/234653
UB offers full tourist program for 2016	In the framework of the “Ulaanbaatar Welcomes You” program, which is run by the City Administration, many cultural and traditional events have been held. One of them was the “Danshig Naadam- Khuree Tsam” religious and cultural event, which was held in August 2015 in Khui Doloo Khudag. Yesterday, the organizers of the “Danshig Naadam-Khuree Tsam” provided information about the event planned for 2016. This year, the “Danshig Naadam-Khuree Tsam” will take place 0n 6th-7th August. In the framework of the event, 500 monks will undertake a religious ceremony and 300 artists will perform a contortion festival entitled “Legend of Mountain and Water”. There will also be ethnic musical with traditional and modern instruments on Chinggis Square. In accordance with tradition, the national wrestling, horse racing, and archery competition will be held in Khui Doloon Khudag. The organizers noted that, the number of tourists coming to UB has increased by 3%-6%, as the result of the “Ulaanbaatar Welcomes You” program.	http://www.news.mn/r/234654
“Justice Union Group” – days numbered?	It is being reported that the three MP’s G.Uyanga, L.Tsog, and O.Baasankhuu, who planned to bring down the Saikahnbileg Government, are now about to cause the collapse of the Justice Union Group in Parliament, of which they are members. According to the law, for a group in Parliament to exist - it must have a working quorum of at least 8 members. If these three MP’s leave the Justice Union Group there will not be a quorum and it will have to be disbanded. We, therefore, asked MP G.Uyanga to clarify this. Here is her response: -The Justice Union Group, which combines the Mongolian People’s Revolution Party (MPRP) and the Mongolian National Democratic Party (MNDP), has many mistakes. For example, our party has, on several occasions, made official demands, to Parliament, about Oyu-Tolgoi. But, the Justice Union Group has protected the Government. The Justice Union Group is not able to work fairly. Also, there is the current sensation about Minister G.Shiilegdamba who was arrested and is at present on bail. However, the disintegration of the Justice Union Group is not our intention. Under any circumstances, leaving the group would be the easiest choice - I am not looking for easiest choices. We could choose to leave, if it is absolutely necessary. Being involved in the group is a strong subject. Unfortunately, the group is not working in the right direction.	http://www.news.mn/r/234736
Mongolian Flag presented to Budapest Museum	On 1st February, the Ambassador to Hungary, T.Gandi presented the Mongolian national flag and a certificate to Mr. Balogh Laszlo, the director of Budapest Flag Museum. Ambassador Gandi said: “This flag has been used at the Mongolian Ministry of Foreign Affairs – so the it is a part of the history of the Ministry.” Director Balogh Laszlo expressed his appreciation for the gift of the flag and requested that the gratitude of the museum be conveyed to Mongolian Foreign Minister L.Purevsuren. Mr Lazlo noted that they organize an exhibition annually in co-operation with the foreign embassies in Budapest. This year it will be held in November 2016 and will feature a section introducing Mongolia. Source: Ministry of Foreign Affairs	http://www.news.mn/r/234740
Malaysian drug crimes – incorrect	Various webites have provided information saying that some Mongolians, living in Malaysia have been accused of drug related offences. Today, the Ministry of Foreign Affairs informed that this information is incorrect. The last drug related case involving Mongolian citizens in Malysia occurred in 2013. That case took place in January 2013 and involved three Mongolian, two of whom were reseased after being proved innocent; the third is still in Malaysia under investingation.	http://www.news.mn/r/234742
300 new mortgage holders receive MNT 15.9 billion	On 19th January 2016, Parliament approved additional changes to the “Law on Real Estate and Mortgages” and to the “Civil Law”. Since then, 11 commercial banks have agreed to lend MNT 68.5 billion in mortgages to 1129 customers, of which MNT 15.9 billion has already been provided to 300 people.	http://www.news.mn/r/234743
Bank of Mongolia exchanges USD 20 million and CNY 5.5 million	On 2nd February, the regular Bank of Mongolia currency auction took place. During the auction, the commercial banks requested buying USD 64.85 million for between MNT 2009.00 and 2015.05 and CNY 26.5 million for between MNT 304.36 and 305.00. In response to these requests, the Bank of Mongolia has supplied USD 20 million for MNT 2014.35 and CNY 5.5 million for MNT 304.8. Also, during the swap and agreement, the commercial banks requested to make a swap agreement buying USD 5.45 million and selling USD 30 million. The Bank of Mongolia, provided USD 5.45 million, but did not accept the swap agreement for selling USD 30 million.	http://www.news.mn/r/234744
New names for halls at Government House	Following a proposal by the Mongolian People’s Party (MPP) Group in Parliament, the Speaker presented a protocol on 2nd February under which the Hall “A” of Government House will be re-named the “Chinggis Khaan Hall” and Hall “B” – the “D.Sukhbaatar Hall”. It can be noted that 2nd February was the anniversary of the D.Sukhbaatar’s birth 123 years ago. Speaker Enkhbold handed his protocol to the director of the MPP Group, S.Byamnatsogt, and the deputy director of the Democratic Party S.Odontuya.	http://www.news.mn/r/234749
Putin wipes Mongolia’s slate clean	On 27th January, the Russian State Duma approved a bill to cancel the Mongolian national debt. On Monday 1st February, President Vladimir Putin signed the contract to annulling the debt. The agreement onthe contract took place in 2010. From the Mongolian side, S.Bayartsogt who is now Director of the Government Administration, but was then Minister of Finance contributed much to the preparation of this contract. In short,97% of the Mongolian debt of USD 174.2 million has been nullified. We therefore spoke to MrBayartsogt about the Russian agreement. -During the Coalition Government of 2009-2012, I worked on three important agreements; namely,Oyu-Tolgoi, the International Monetary Fund (IMF) and the Russian debt. All of them went successfully. At the time when the Coalition Government was established, Mongolia owed money to two countries, namely Russia and Finland. It can be said that these debts were entirely solved during the time of the Coalition Government. The Russian debt was connected to the “Mongolrostsvetmet” Joint Venture. In 2003, Mongolia owed USD 124.6 million and its rates. “Mongolrostsvetmet”, however, was not able to pay what it owed; this was where the problem began. In 2009, during the meeting of World Bank and IMF, Russian Deputy Minister of Finance D.Pankin said that Russia would take Mongolia to the Paris Club. Therefore, the National Security Council tasked me with making an agreement with Russia. As a result, we had several meetings in Moscow, Ulaanbaatar, and Washington with the working group, headed by the then Russian Finance MinisterAlekseiKudrin and Deputy Finance Minister Pankin. As a result of the long agreements, which lasted about a year, we decided to cancel 97.8% of the total USD 174.2 million. On 14th December 2010, the Russian and Mongolian Ministers of Finance signed a contract to this effect in Moscow. The contract included the payment of the remaining USD 3.8 million within 30 days from the day when the final contract would be approved. This is the story of how the “Mongolrostsvetmet” debt to Russia was solved. Also, in November 2009, Mongolia solved the debt to Finland during an agreement in Helsinki. As a result, Mongolia now does not have any old debt to any country – that is as long as Mongolia pays USD 3.8 million (MNT 7.6 billion) to Russia within 30 days.	http://www.news.mn/r/234835
Party Invitation	On 2nd of February, the Executive Council of the Democratic Party (DP) held a meeting, during which it was decided to deliver a proposal to the Civil Will Green Party (CWGP)and theMongolian National Democratic Party (MNDP) inviting them to merge with them. Following this decision, the acting General Secretary of the DPL.Erkhembayar handed the proposal to the General Secretary of the CWGP,B.Khuder-Yan. The invitation included the following: “The DP considers CWGP to be a democratic party, which makes a real contribution to creating a humanitarian and democratic society in Mongolia. The CWGP has been repeatedly participating in elections and members of the CWGP have been working in Parliament and Government. Based on this co-operation, the DP wishes to invite the CWGP to join it and thereby strenghten democracy, and support the future development of Mongolia. Therefore, we ask you, to form working group to prepare an agreement, in accordance with the guidelines set out by the “Law on Political Parties”. Yesterday afternoon, the two parties met to discuss this issue. The CWGP, however, will not maked their final decision so easily. The same source said that CWGP will decide after the meeting of the Executive Council and the CWGP general meeting. Also, DP Chairman and Parliamentary Speaker Z.Enkhbold handed the same invitation to MNDP general secretary D.Battsereg.	http://www.news.mn/r/234836
Civil Will Green Party to join DP?	The DP has offered Civil Will Green Party (CWGP) and Mongolian National Democratic Party to join DP. We clarified about this from CWGP. The Member of Parliament, Chairperson of CWGP S.Oyun: Anyway, the DP has delievered their offer officially. We formed a working team, and had a meeting with DP. According to the “Law on Political Parties”, and internal rules of our party, we must decide this issue with the Great Meeting of CWGP, after all stages. Before that, this issue mist be discussed in local sums and city districts must discuss in first. The general secretary of CWGP B.Khuder-Yan: What is your status on joining DP? I can not decide alone this issue. According to the party rule, this must be discussed in province and districts’s. After this, non-regular meeting might discuss the initial stage decision. If out party accepts to join, the DP must change their party rule. The DP has strict rules. Their rule does not include any word and letter to join another party. How is the financing of the CWGP? Currently, the party financing is very hard. Our party is operating with the donation and taxes of the Members, who are in Parliament. If we join DP, we will be financed under the one party budget.	http://www.news.mn/r/234837
“Referendum Law” accepted	Today, the State Structure Standing Committee discussed several issues; on today’s agenda was the project to make additional changes to the “Law on Parliament”. The Standing Committee accepted the project of additional changes by 90.6% and sent it onto Parliament to be debated. Next, the Standing Committee of State Structure had its first discussion on the draft “Referendum Law”, which it accepted with 93,3%; this too is being sent on to Parliament. During the discussion, MP.G.Uyanga asked what system would be used for counting the referendum results. In reply, MP N.Batbayar answered that counting the ballot papers would be done in accordance with the“Electoral Law”.	http://www.news.mn/r/234838
Mongolia’s border crossings during TsagaanSar	This year Tsagaansar coincides again with Chinese New Year. According to an inter-governmental agreement, the Mongolia-Chinese border crossings will be closed during the TsagaanSar celebrations from the 9th-11th February. Also, during the holiday, Mongolia’s main airport - Buyant-Ukhaa and also Choibalsan airport will work for 24 hours as also will the rail border crossings at the railway border crossings at Sukhbaatar and Ereentsav. According to the CommunicationCo-ordinating Bureau – the Ereentsav crossing will work through the holiday.	http://www.news.mn/r/234839
33 MPs report their incomes	As we have reported, 40,031 civil servants who work at all the 109 state organizations must report their income and capital assets for 2015 before 15th February. As of 3rd February, 33696 (84.1%) have supplied this information. Also, 270 senior officials must present their statements to the Anti-Corruption ExecutiveAuthority; to date,33 MP’s, 22 ambassadors 5 consuls, 19 directors of governmental executive organs and other 61 directors of committee etc have done so. Source: National Intelligence Agency of Mongolia	http://www.news.mn/r/234841
Three companies to export meat to China	Nine Mongolian meat companies have requested permission to export meat to China. Therefore, the Mongolian Ministry of Nutrition and Agriculture Agency, the Mongolian General Specialized InvestigationAgency and the Chinese Inspection and Quarantine Services haveconducted an investigation of the meat products from these companies. As a result, three companies, namely,ZavkhanKhuns”, “Mon Tuva” and “Mongol Eco Meat (Khuvsgul)” passed the test. The experts also concluded that meat fromUvs Province is of very high quality and free from disease. The Chinese side agreed to import meat from Uvs and other provinces.	http://www.news.mn/r/234846
Non-regular sitting of Parliament is called for 15th February	Tomorrow (5th Feb), the autumn sessionof the State Great Khural (Parliament) will officially end. Today, however, the Speaker announced that after the TsagaanSar celebrations, a non-regular sitting will be held on 15th February. It is therefore clear that the parliamentary parties and groups will only have a vacation next week. Parliament has planned to solve 33 issues before the end of the autumn session; six of these were discussed and approved before noon today.	http://www.news.mn/r/234866
President is invited to the Eagle TV program	Tonight, the President of Mongolia Ts.Elbegdorj will be a guest on the TV program “Highlighted Issue”. During the program, the President will talk about Mongolia’s neutrality policy. Other guests on tonight’s show will include representatives of the government, the Ministry of Foreign Affairs as well as the former foreign ministers. Also present will be guests from the School ofInternational Relationsat the National University of Mongolia, the University of Humanities, the National Intelligence Academy and the Geopolitical Society. This program will be shown at 20.30 pm.	http://www.news.mn/r/234867
